date,snow_depth,water,water_adjusted,site
4/2007,17.9,7.0,--,DYM
5/2007,0.0,0.0,--,DYM
2/2008,80.5,21.5,--,DYM
3/2008,86.2,30.6,--,DYM
4/2008,64.3,28.2,--,DYM
5/2008,38.6,18.4,--,DYM
2/2009,14.1,3.3,--,DYM
3/2009,40.9,13.2,--,DYM
4/2009,37.4,14.0,--,DYM
5/2009,0.5,0.2,--,DYM
4/2010,77.0,16.8,--,DYM
5/2010,80.9,30.8,--,DYM
2/2011,27.9,8.6,--,DYM
4/2011,84.7,28.8,--,DYM
5/2011,43.9,18.2,--,DYM
2/2012,25.0,8.4,--,DYM
3/2012,24.8,9.6,--,DYM
4/2012,57.4,21.6,--,DYM
5/2012,31.0,13.0,--,DYM
2/2013,26.6,8.6,--,DYM
3/2013,27.2,8.0,--,DYM
4/2013,10.4,5.0,--,DYM
5/2013,0.0,0.0,--,DYM
2/2014,0.0,0.0,--,DYM
3/2014,2.0,0.5,--,DYM
4/2014,1.5,0.0,--,DYM
5/2014,0.0,0.0,--,DYM
2/2015,0.0,0.0,--,DYM
3/2015,0.0,0.0,--,DYM
4/2015,0.0,0.0,--,DYM
5/2015,0.0,0.0,--,DYM
2/2016,47.5,23.0,--,DYM
3/2016,27.0,10.0,--,DYM
4/2016,20.0,9.0,--,DYM
5/2016,0.0,0.0,--,DYM
1/2000,9.7,2.6,--,ECS
2/2000,63.9,13.9,16.4,ECS
3/2000,115.7,35.7,36.9,ECS
4/2000,66.9,27.9,27.9,ECS
5/2000,37.2,16.0,16.0,ECS
2/2001,45.7,12.1,12.1,ECS
3/2001,56.2,15.4,15.4,ECS
4/2001,34.1,13.5,13.5,ECS
5/2001,33.9,13.7,13.7,ECS
1/2002,54.5,19.4,--,ECS
2/2002,58.4,21.4,21.4,ECS
3/2002,57.6,23.9,23.9,ECS
4/2002,94.3,37.8,37.8,ECS
5/2002,42.4,16.1,16.5,ECS
1/2003,54.1,15.8,--,ECS
2/2003,57.1,24.4,24.4,ECS
3/2003,44.1,17.8,18.2,ECS
4/2003,38.6,17.4,17.4,ECS
5/2003,58.2,22.9,22.9,ECS
2/2004,57.1,18.7,18.7,ECS
3/2004,87.2,28.4,27.8,ECS
4/2004,50.8,23.3,23.3,ECS
5/2004,11.2,5.4,5.4,ECS
2/2005,73.7,25.4,25.4,ECS
3/2005,83.0,27.6,28.3,ECS
4/2005,102.9,37.7,37.7,ECS
5/2005,77.4,33.8,33.8,ECS
1/2006,45.3,12.1,--,ECS
2/2006,58.4,18.5,18.4,ECS
3/2006,59.8,21.1,20.3,ECS
4/2006,93.1,33.5,33.5,ECS
5/2006,86.5,40.3,40.3,ECS
1/2007,22.5,6.8,--,ECS
2/2007,26.3,8.6,8.6,ECS
3/2007,71.8,17.3,17.3,ECS
4/2007,45.1,14.7,14.7,ECS
5/2007,16.1,6.3,6.3,ECS
1/2008,26.0,7.8,--,ECS
2/2008,72.6,21.0,21.0,ECS
3/2008,88.4,29.6,29.6,ECS
4/2008,64.4,28.3,28.3,ECS
5/2008,33.1,16.1,16.1,ECS
2/2009,33.5,11.3,--,ECS
3/2009,57.2,18.3,--,ECS
4/2009,60.5,25.1,--,ECS
5/2009,34.2,14.9,--,ECS
1/2010,30.3,7.1,--,ECS
2/2010,66.0,16.9,--,ECS
3/2010,65.2,20.8,--,ECS
4/2010,59.8,22.2,--,ECS
5/2010,60.8,27.1,--,ECS
2/2011,68.1,24.3,--,ECS
4/2011,135.0,52.0,--,ECS
5/2011,85.5,40.6,--,ECS
2/2012,15.6,4.0,--,ECS
3/2012,32.4,6.5,--,ECS
4/2012,42.7,15.2,--,ECS
5/2012,19.1,7.8,--,ECS
2/2013,37.6,14.1,--,ECS
3/2013,34.4,13.1,--,ECS
4/2013,30.4,12.8,--,ECS
5/2013,0.0,0.0,--,ECS
2/2014,19.7,3.4,--,ECS
3/2014,37.5,11.0,--,ECS
4/2014,33.0,12.0,--,ECS
5/2014,10.0,4.5,--,ECS
2/2015,6.0,3.0,--,ECS
3/2015,12.0,2.0,--,ECS
4/2015,0.0,0.0,--,ECS
5/2015,0.0,0.0,--,ECS
1/2016,52.5,15.0,--,ECS
2/2016,69.5,19.5,--,ECS
3/2016,52.0,23.0,--,ECS
4/2016,65.5,30.0,--,ECS
5/2016,37.0,17.5,--,ECS
2/2000,42.7,10.4,11.4,EGM
3/2000,80.8,26.5,26.4,EGM
4/2000,56.0,22.4,22.4,EGM
5/2000,33.0,15.0,15.0,EGM
2/2001,35.9,9.6,9.6,EGM
3/2001,61.1,17.6,17.6,EGM
4/2001,40.1,15.5,15.5,EGM
2/2002,46.7,17.4,17.4,EGM
3/2002,42.1,17.6,17.6,EGM
4/2002,114.9,47.2,47.2,EGM
5/2002,18.1,5.5,5.5,EGM
2/2003,39.1,15.6,15.6,EGM
3/2003,40.6,17.6,17.6,EGM
4/2003,34.2,17.2,17.5,EGM
5/2003,43.2,19.5,19.5,EGM
2/2004,51.5,17.9,17.9,EGM
3/2004,83.5,25.2,25.2,EGM
4/2004,37.3,17.2,17.2,EGM
5/2004,6.5,2.7,2.7,EGM
2/2005,76.2,25.4,25.4,EGM
3/2005,129.2,47.0,48.5,EGM
4/2005,92.0,39.0,38.5,EGM
5/2005,70.4,33.1,33.9,EGM
2/2006,54.5,19.0,19.0,EGM
3/2006,51.3,21.8,26.7,EGM
4/2006,143.5,60.7,61.3,EGM
5/2006,68.0,31.6,31.6,EGM
6/2006,0.0,0.0,--,EGM
2/2007,19.2,5.9,5.9,EGM
3/2007,53.4,15.8,15.8,EGM
4/2007,30.0,9.3,9.3,EGM
5/2007,4.9,1.9,1.9,EGM
2/2008,70.1,21.0,20.9,EGM
3/2008,83.1,27.9,27.9,EGM
4/2008,49.9,23.6,23.6,EGM
5/2008,10.1,5.5,5.5,EGM
2/2009,39.7,12.0,--,EGM
3/2009,59.2,18.9,--,EGM
4/2009,60.9,24.4,--,EGM
5/2009,19.2,9.6,--,EGM
2/2010,65.5,17.3,--,EGM
3/2010,54.1,20.1,--,EGM
4/2010,59.6,24.9,--,EGM
5/2010,51.8,24.2,--,EGM
2/2011,56.6,22.2,--,EGM
3/2011,94.5,30.5,--,EGM
4/2011,114.1,42.1,--,EGM
5/2011,77.4,35.0,--,EGM
2/2012,16.2,3.8,--,EGM
3/2012,10.4,3.4,--,EGM
4/2012,21.2,7.0,--,EGM
5/2012,0.0,0.0,--,EGM
2/2013,38.9,14.6,--,EGM
3/2013,36.1,14.9,--,EGM
4/2013,25.2,12.3,--,EGM
5/2013,0.0,0.0,--,EGM
2/2014,1.5,1.0,--,EGM
3/2014,14.5,6.5,--,EGM
4/2014,10.0,5.0,--,EGM
5/2014,0.0,0.0,--,EGM
2/2015,9.5,3.5,--,EGM
3/2015,1.0,0.5,--,EGM
4/2015,0.0,0.0,--,EGM
5/2015,0.0,0.0,--,EGM
2/2016,66.5,19.5,--,EGM
3/2016,51.5,20.5,--,EGM
4/2016,48.0,22.5,--,EGM
5/2016,16.0,8.0,--,EGM
2/2000,57.4,11.9,12.9,ELL
3/2000,84.3,25.9,25.7,ELL
4/2000,64.0,25.3,25.3,ELL
2/2001,37.1,9.0,9.0,ELL
3/2001,60.5,16.1,16.0,ELL
4/2001,47.8,17.6,17.7,ELL
2/2002,56.6,20.6,22.2,ELL
3/2002,65.9,23.9,23.9,ELL
4/2002,72.4,27.8,27.8,ELL
2/2003,59.5,21.7,21.7,ELL
3/2003,68.7,22.6,22.6,ELL
4/2003,68.4,26.4,26.6,ELL
2/2004,52.5,17.7,18.2,ELL
3/2004,86.8,27.8,26.8,ELL
4/2004,54.2,25.3,25.3,ELL
2/2005,85.5,29.1,32.1,ELL
3/2005,102.9,34.1,34.1,ELL
4/2005,113.5,40.3,40.3,ELL
2/2006,87.1,33.5,33.2,ELL
3/2006,114.2,39.8,37.4,ELL
4/2006,116.9,47.0,49.4,ELL
2/2007,33.1,8.6,8.6,ELL
3/2007,67.7,17.4,17.4,ELL
4/2007,43.3,16.9,18.3,ELL
3/2008,98.4,31.0,31.0,ELL
4/2008,71.1,28.9,29.0,ELL
2/2009,53.0,13.7,--,ELL
3/2009,90.4,26.1,--,ELL
4/2009,71.2,26.5,--,ELL
2/2010,58.6,17.1,--,ELL
3/2010,82.0,25.8,--,ELL
4/2010,67.2,27.6,--,ELL
2/2011,73.4,27.6,--,ELL
3/2011,99.2,37.0,--,ELL
4/2011,123.8,54.3,--,ELL
2/2012,29.9,8.0,--,ELL
3/2012,29.7,8.8,--,ELL
4/2012,44.2,15.3,--,ELL
2/2013,54.7,19.4,--,ELL
3/2013,52.2,18.2,--,ELL
4/2013,52.3,21.1,--,ELL
2/2014,29.0,6.0,--,ELL
3/2014,60.0,16.0,--,ELL
4/2014,58.5,18.5,--,ELL
2/2015,14.5,3.5,--,ELL
3/2015,27.0,7.5,--,ELL
4/2015,13.5,6.0,--,ELL
2/2016,60.5,18.5,--,ELL
3/2016,64.5,23.0,--,ELL
4/2016,64.0,27.5,--,ELL
4/2000,88.7,34.4,34.4,EML
3/2001,62.6,17.9,--,EML
4/2001,56.9,20.1,--,EML
4/2002,85.8,28.4,--,EML
2/2004,66.1,19.8,--,EML
4/2004,60.7,26.7,--,EML
3/2005,111.9,43.6,--,EML
4/2005,123.7,45.3,--,EML
5/2006,137.0,56.7,--,EML
4/2007,52.4,18.2,--,EML
4/2008,79.8,32.2,--,EML
4/2009,85.2,30.7,--,EML
4/2010,81.8,32.8,--,EML
4/2011,141.0,52.2,--,EML
4/2012,54.5,15.2,--,EML
4/2013,53.8,20.0,--,EML
4/2014,57.5,16.5,--,EML
4/2015,28.0,11.0,--,EML
4/2016,75.5,28.5,--,EML
2/2000,63.9,22.0,22.7,ENM
3/2000,129.5,47.0,47.0,ENM
4/2000,95.3,46.9,46.9,ENM
5/2000,56.2,28.7,28.7,ENM
2/2001,63.8,19.5,19.5,ENM
3/2001,88.3,30.6,30.6,ENM
4/2001,64.2,29.8,29.8,ENM
2/2002,88.1,42.8,42.8,ENM
3/2002,83.9,39.7,39.7,ENM
4/2002,110.0,53.0,53.0,ENM
5/2002,64.4,33.7,33.7,ENM
2/2003,66.4,28.1,28.1,ENM
3/2003,74.0,36.9,37.1,ENM
4/2003,68.0,34.7,34.7,ENM
5/2003,100.6,49.6,47.2,ENM
2/2004,92.4,42.1,42.5,ENM
3/2004,131.1,48.3,47.6,ENM
4/2004,83.9,43.8,43.8,ENM
5/2004,54.2,29.7,29.7,ENM
2/2005,88.9,32.9,34.9,ENM
3/2005,101.0,37.9,38.8,ENM
4/2005,131.0,55.2,55.2,ENM
5/2005,108.0,53.7,54.4,ENM
6/2005,47.3,26.3,--,ENM
2/2006,53.5,21.0,19.5,ENM
3/2006,63.2,28.0,35.0,ENM
4/2006,123.3,52.0,45.7,ENM
5/2006,111.9,58.3,58.3,ENM
6/2006,27.6,16.3,--,ENM
2/2007,36.0,13.9,13.9,ENM
3/2007,106.4,30.1,30.1,ENM
4/2007,66.3,27.5,27.5,ENM
5/2007,39.0,19.3,19.3,ENM
2/2008,98.7,37.3,--,ENM
3/2008,112.3,43.7,43.7,ENM
4/2008,85.6,40.0,43.0,ENM
5/2008,56.9,31.4,31.4,ENM
2/2009,44.7,16.1,--,ENM
3/2009,90.0,33.6,--,ENM
4/2009,103.0,44.7,--,ENM
5/2009,67.2,33.2,--,ENM
2/2010,89.4,28.9,--,ENM
3/2010,91.9,35.0,--,ENM
4/2010,100.1,41.8,--,ENM
5/2010,98.8,47.8,--,ENM
6/2010,65.2,32.9,--,ENM
2/2011,78.5,34.0,--,ENM
3/2011,121.0,45.3,--,ENM
4/2011,187.8,75.3,--,ENM
5/2011,152.7,75.1,--,ENM
6/2011,100.9,54.1,--,ENM
2/2012,19.8,7.9,--,ENM
3/2012,44.0,14.0,--,ENM
4/2012,73.8,33.9,--,ENM
5/2012,47.4,24.9,--,ENM
2/2013,53.8,22.2,--,ENM
3/2013,54.2,21.8,--,ENM
4/2013,51.3,21.7,--,ENM
5/2013,4.4,2.0,--,ENM
2/2014,8.5,2.0,--,ENM
3/2014,18.5,7.5,--,ENM
4/2014,64.5,19.0,--,ENM
5/2014,9.5,4.5,--,ENM
2/2015,22.0,9.0,--,ENM
3/2015,12.5,5.5,--,ENM
4/2015,1.0,0.5,--,ENM
5/2015,2.5,1.0,--,ENM
2/2016,81.0,30.0,--,ENM
3/2016,72.5,32.0,--,ENM
4/2016,81.0,44.0,--,ENM
5/2016,29.5,16.5,--,ENM
2/2000,39.6,8.4,--,EPP
3/2000,47.5,15.4,--,EPP
4/2000,42.3,18.5,18.5,EPP
5/2000,27.7,15.6,--,EPP
2/2001,21.4,4.9,--,EPP
3/2001,45.1,11.0,--,EPP
4/2001,38.3,15.9,--,EPP
5/2001,30.3,14.4,--,EPP
2/2002,33.8,10.8,--,EPP
3/2002,29.8,10.3,--,EPP
4/2002,27.0,10.4,--,EPP
5/2002,11.6,5.0,--,EPP
2/2003,22.5,8.5,--,EPP
3/2003,44.5,14.0,--,EPP
4/2003,38.7,14.5,--,EPP
5/2003,25.4,11.5,--,EPP
2/2004,44.1,13.8,--,EPP
3/2004,64.1,18.1,--,EPP
4/2004,51.3,23.1,--,EPP
5/2004,18.7,9.9,--,EPP
2/2005,54.2,18.5,--,EPP
3/2005,70.0,22.6,--,EPP
4/2005,73.5,26.4,--,EPP
5/2005,59.9,22.4,--,EPP
2/2006,44.5,13.6,--,EPP
3/2006,42.9,16.3,--,EPP
4/2006,61.5,22.1,--,EPP
5/2006,64.1,26.3,--,EPP
2/2007,11.8,2.0,--,EPP
3/2007,25.0,5.6,--,EPP
4/2007,12.9,3.9,--,EPP
5/2007,3.1,1.4,--,EPP
2/2008,38.4,11.6,--,EPP
3/2008,59.6,17.8,--,EPP
4/2008,38.2,15.7,--,EPP
5/2008,19.3,8.4,--,EPP
2/2009,34.9,8.8,--,EPP
3/2009,37.0,11.8,--,EPP
4/2009,34.8,12.5,--,EPP
5/2009,24.3,10.3,--,EPP
2/2010,53.8,15.0,--,EPP
3/2010,53.9,17.4,--,EPP
4/2010,49.3,17.9,--,EPP
5/2010,51.4,21.9,--,EPP
2/2011,51.8,21.4,--,EPP
3/2011,60.8,21.5,--,EPP
4/2011,64.0,26.6,--,EPP
5/2011,50.3,24.1,--,EPP
2/2012,24.7,6.4,--,EPP
3/2012,20.0,6.5,--,EPP
4/2012,23.9,7.5,--,EPP
5/2012,10.5,3.9,--,EPP
2/2013,27.5,7.4,--,EPP
3/2013,31.5,8.9,--,EPP
4/2013,23.8,8.3,--,EPP
5/2013,1.6,0.6,--,EPP
2/2014,18.5,4.5,--,EPP
3/2014,36.5,8.5,--,EPP
4/2014,23.5,7.5,--,EPP
5/2014,22.0,4.5,--,EPP
2/2015,11.5,3.5,--,EPP
3/2015,5.0,1.5,--,EPP
4/2015,7.0,2.5,--,EPP
5/2015,0.0,0.0,--,EPP
2/2016,37.5,9.0,--,EPP
3/2016,39.0,13.0,--,EPP
4/2016,36.5,14.0,--,EPP
5/2016,27.0,10.5,--,EPP
2/2000,69.4,22.9,22.9,ERB
3/2000,112.1,39.1,45.2,ERB
4/2000,103.1,49.7,49.7,ERB
5/2000,52.7,26.4,26.6,ERB
2/2001,46.6,12.4,12.4,ERB
3/2001,85.9,27.3,27.3,ERB
4/2001,51.3,23.4,23.4,ERB
5/2001,38.4,18.7,18.7,ERB
2/2002,58.1,24.1,29.3,ERB
3/2002,71.6,31.4,31.4,ERB
4/2002,89.0,36.7,36.7,ERB
5/2002,35.6,17.4,17.4,ERB
2/2003,60.6,26.9,26.9,ERB
3/2003,67.7,28.1,28.1,ERB
4/2003,56.3,24.9,25.0,ERB
5/2003,93.1,38.0,38.0,ERB
2/2004,74.9,28.4,30.0,ERB
3/2004,104.3,40.3,47.7,ERB
4/2004,78.3,38.0,39.5,ERB
5/2004,48.3,24.3,24.3,ERB
2/2005,70.6,21.5,21.5,ERB
3/2005,87.9,36.6,37.2,ERB
4/2005,102.0,46.0,46.0,ERB
2/2006,45.1,15.7,16.4,ERB
3/2006,49.9,19.3,30.0,ERB
4/2006,99.3,41.0,43.0,ERB
5/2006,112.4,56.7,56.8,ERB
2/2007,24.6,7.9,7.9,ERB
4/2007,45.3,17.4,17.4,ERB
5/2007,20.9,8.4,8.4,ERB
3/2008,98.7,37.7,37.7,ERB
4/2008,73.9,35.3,35.3,ERB
5/2008,47.1,24.9,24.9,ERB
2/2009,33.6,10.7,--,ERB
3/2009,63.9,23.6,--,ERB
4/2009,79.7,34.3,--,ERB
5/2009,33.1,14.6,--,ERB
2/2010,83.6,24.6,--,ERB
3/2010,86.0,27.0,--,ERB
4/2010,97.7,39.0,--,ERB
2/2011,62.7,24.1,--,ERB
3/2011,111.1,38.4,--,ERB
5/2011,125.9,63.6,--,ERB
2/2012,24.1,4.2,--,ERB
4/2012,79.6,28.8,--,ERB
5/2012,44.1,20.1,--,ERB
2/2013,43.4,17.6,--,ERB
3/2013,43.6,16.3,--,ERB
4/2013,35.1,16.6,--,ERB
5/2013,0.0,0.0,--,ERB
5/2014,0.0,0.0,--,ERB
2/2016,68.0,26.5,--,ERB
3/2016,65.0,29.0,--,ERB
4/2016,81.0,38.0,--,ERB
4/2000,60.0,29.6,29.6,ETN
4/2001,6.0,2.1,--,ETN
4/2002,59.8,26.6,--,ETN
4/2003,38.0,17.0,--,ETN
4/2004,74.0,31.8,--,ETN
4/2005,33.5,7.8,--,ETN
4/2006,99.9,34.9,--,ETN
4/2007,43.1,15.1,--,ETN
4/2008,96.6,24.6,--,ETN
4/2009,59.3,24.7,--,ETN
4/2010,66.0,15.5,--,ETN
4/2011,110.5,39.1,--,ETN
4/2012,80.4,27.5,--,ETN
4/2013,12.2,4.9,--,ETN
4/2014,12.5,2.5,--,ETN
4/2015,0.0,0.0,--,ETN
4/2016,59.5,26.5,--,ETN
2/2000,57.0,15.6,15.6,EUR
3/2000,91.4,28.0,32.5,EUR
4/2000,78.3,32.9,32.9,EUR
5/2000,41.0,19.3,19.5,EUR
2/2001,34.3,7.9,7.9,EUR
3/2001,69.7,19.8,19.8,EUR
4/2001,36.9,15.8,15.8,EUR
5/2001,24.6,11.2,11.2,EUR
2/2002,46.0,17.3,21.2,EUR
3/2002,51.6,27.8,27.8,EUR
4/2002,68.9,25.0,25.0,EUR
5/2002,16.2,6.6,6.6,EUR
2/2003,47.7,19.7,19.7,EUR
3/2003,50.8,19.2,19.2,EUR
4/2003,37.4,16.4,16.5,EUR
5/2003,53.8,19.1,19.1,EUR
2/2004,61.0,22.0,23.2,EUR
3/2004,85.0,28.4,34.0,EUR
4/2004,62.7,25.6,26.7,EUR
5/2004,24.9,11.2,11.2,EUR
2/2005,70.9,24.4,25.3,EUR
3/2005,74.9,27.4,27.9,EUR
4/2005,79.6,34.0,34.0,EUR
2/2006,28.4,7.9,8.4,EUR
3/2006,31.4,10.4,18.4,EUR
4/2006,68.4,24.6,26.1,EUR
5/2006,79.0,35.6,35.6,EUR
2/2007,19.0,5.3,5.3,EUR
3/2007,75.5,16.2,16.2,EUR
4/2007,33.0,10.4,10.4,EUR
5/2007,8.3,2.6,2.6,EUR
2/2008,78.1,19.9,20.6,EUR
3/2008,90.2,29.8,29.8,EUR
4/2008,65.4,29.4,29.4,EUR
5/2008,34.3,16.7,16.7,EUR
2/2009,28.3,8.3,--,EUR
3/2009,50.3,15.6,--,EUR
4/2009,56.9,21.8,--,EUR
5/2009,12.2,5.0,--,EUR
2/2010,70.9,18.8,--,EUR
3/2010,72.0,22.0,--,EUR
4/2010,79.8,28.4,--,EUR
2/2011,49.7,18.3,--,EUR
3/2011,94.8,28.0,--,EUR
5/2011,88.8,48.6,--,EUR
2/2012,22.1,4.7,--,EUR
3/2012,38.8,7.4,--,EUR
4/2012,64.0,21.2,--,EUR
5/2012,36.2,13.6,--,EUR
2/2013,36.8,13.2,--,EUR
3/2013,33.7,12.9,--,EUR
4/2013,24.0,11.7,--,EUR
5/2013,0.0,0.0,--,EUR
3/2014,12.0,3.5,--,EUR
5/2014,0.0,0.0,--,EUR
2/2016,54.0,19.0,--,EUR
3/2016,49.0,20.0,--,EUR
4/2016,47.0,20.0,--,EUR
2/2000,18.0,4.6,--,FBN
3/2000,31.0,7.0,--,FBN
4/2000,13.0,5.3,5.3,FBN
2/2001,19.0,4.2,--,FBN
3/2001,30.0,7.6,--,FBN
4/2001,9.0,2.9,--,FBN
2/2002,30.0,10.7,--,FBN
3/2002,24.0,10.4,--,FBN
4/2002,28.0,11.8,--,FBN
2/2003,23.0,9.6,--,FBN
3/2003,25.0,10.2,--,FBN
4/2003,10.0,4.3,--,FBN
2/2004,26.0,9.0,--,FBN
3/2004,30.0,10.0,--,FBN
4/2004,14.0,6.6,--,FBN
2/2005,42.0,13.8,--,FBN
3/2005,46.0,16.3,--,FBN
4/2005,51.0,18.6,--,FBN
2/2006,27.0,7.4,--,FBN
3/2006,22.0,6.0,--,FBN
4/2006,29.0,10.9,--,FBN
2/2007,14.0,4.0,--,FBN
3/2007,41.0,8.9,--,FBN
4/2007,4.5,1.2,--,FBN
2/2008,51.0,12.0,--,FBN
3/2008,51.0,16.0,--,FBN
4/2008,24.0,11.0,--,FBN
2/2009,16.0,5.9,--,FBN
3/2009,23.0,8.0,--,FBN
4/2009,19.0,7.7,--,FBN
2/2010,34.0,9.6,--,FBN
3/2010,34.0,11.1,--,FBN
4/2010,37.0,13.4,--,FBN
2/2011,32.0,11.6,--,FBN
3/2011,50.0,17.3,--,FBN
4/2011,63.0,23.8,--,FBN
2/2012,9.0,2.5,--,FBN
3/2012,20.0,3.4,--,FBN
4/2012,12.0,4.4,--,FBN
3/2013,16.0,6.5,--,FBN
4/2013,3.1,1.1,--,FBN
3/2014,8.0,2.5,--,FBN
4/2014,0.0,0.0,--,FBN
2/2015,4.0,0.6,--,FBN
3/2015,0.0,0.0,--,FBN
4/2015,0.0,0.0,--,FBN
2/2016,38.0,12.0,--,FBN
3/2016,33.0,13.5,--,FBN
4/2016,21.0,8.5,--,FBN
1/2000,0.3,0.1,--,FCV
2/2000,47.3,15.3,--,FCV
3/2000,18.3,5.6,--,FCV
4/2000,0.4,0.1,0.1,FCV
5/2000,0.0,0.0,--,FCV
1/2001,1.7,0.6,--,FCV
2/2001,9.3,2.0,--,FCV
3/2001,8.3,1.9,--,FCV
4/2001,0.0,0.0,--,FCV
5/2001,0.0,0.0,--,FCV
1/2002,17.1,4.9,--,FCV
2/2002,19.3,5.5,--,FCV
3/2002,11.5,5.1,--,FCV
4/2002,0.0,0.0,--,FCV
5/2002,0.0,0.0,--,FCV
1/2003,19.3,5.1,--,FCV
2/2003,10.7,4.3,--,FCV
3/2003,5.5,2.4,--,FCV
4/2003,0.0,0.0,--,FCV
5/2003,0.0,0.0,--,FCV
1/2004,13.9,2.1,--,FCV
2/2004,18.9,5.4,--,FCV
3/2004,28.1,7.4,--,FCV
4/2004,0.0,0.0,--,FCV
5/2004,0.0,0.0,--,FCV
1/2005,21.9,2.3,--,FCV
2/2005,24.6,7.2,--,FCV
3/2005,20.7,7.6,--,FCV
4/2005,4.5,1.4,--,FCV
5/2005,0.0,0.0,--,FCV
2/2006,11.3,3.0,--,FCV
3/2006,0.0,0.0,--,FCV
4/2006,4.7,1.3,--,FCV
5/2006,0.0,0.0,--,FCV
1/2007,3.8,0.5,--,FCV
2/2007,0.0,0.0,--,FCV
3/2007,23.4,3.8,--,FCV
4/2007,0.0,0.0,--,FCV
5/2007,0.0,0.0,--,FCV
1/2008,5.2,1.1,--,FCV
2/2008,30.0,6.8,--,FCV
3/2008,34.3,9.5,--,FCV
4/2008,0.0,0.0,--,FCV
5/2008,0.0,0.0,--,FCV
1/2009,11.2,2.1,--,FCV
2/2009,3.9,1.3,--,FCV
3/2009,3.5,1.3,--,FCV
4/2009,0.0,0.0,--,FCV
5/2009,0.0,0.0,--,FCV
2/2010,19.8,4.8,--,FCV
3/2010,18.1,4.2,--,FCV
4/2010,5.4,0.4,--,FCV
5/2010,0.0,0.0,--,FCV
1/2011,20.5,3.2,--,FCV
2/2011,5.1,1.4,--,FCV
4/2011,16.7,6.5,--,FCV
5/2011,0.0,0.0,--,FCV
1/2012,0.0,0.0,--,FCV
2/2012,0.0,0.0,--,FCV
3/2012,3.1,0.3,--,FCV
4/2012,0.0,0.0,--,FCV
5/2012,0.0,0.0,--,FCV
1/2013,18.2,3.7,--,FCV
2/2013,10.1,4.0,--,FCV
3/2013,1.5,0.7,--,FCV
4/2013,0.0,0.0,--,FCV
5/2013,0.0,0.0,--,FCV
1/2014,0.0,0.0,--,FCV
2/2014,0.0,0.0,--,FCV
3/2014,0.0,0.0,--,FCV
4/2014,0.0,0.0,--,FCV
5/2014,0.0,0.0,--,FCV
1/2015,0.0,0.0,--,FCV
2/2015,0.0,0.0,--,FCV
3/2015,0.0,0.0,--,FCV
4/2015,0.0,0.0,--,FCV
5/2015,0.0,0.0,--,FCV
2/2016,8.0,1.5,--,FCV
3/2016,0.0,0.0,--,FCV
4/2016,0.0,0.0,--,FCV
5/2016,0.0,0.0,--,FCV
2/2000,28.6,7.6,7.6,FDM
3/2000,67.5,20.8,20.8,FDM
4/2000,42.9,18.5,18.5,FDM
5/2000,11.4,4.8,4.9,FDM
2/2001,34.4,9.1,9.1,FDM
3/2001,67.3,19.8,19.8,FDM
4/2001,35.2,15.7,15.7,FDM
2/2002,40.9,12.4,12.4,FDM
3/2002,38.2,15.6,15.6,FDM
4/2002,48.2,19.3,19.3,FDM
2/2003,54.8,21.7,21.7,FDM
3/2003,22.9,8.0,8.0,FDM
4/2003,12.0,5.6,5.6,FDM
5/2003,7.5,2.1,2.1,FDM
3/2004,72.7,23.3,22.5,FDM
4/2004,27.4,11.2,11.2,FDM
5/2004,0.0,0.0,--,FDM
2/2005,80.8,31.4,31.4,FDM
3/2005,88.1,35.6,36.2,FDM
4/2005,79.8,37.0,37.0,FDM
5/2005,45.2,19.9,19.9,FDM
2/2006,41.1,14.0,14.0,FDM
3/2006,40.0,14.2,16.3,FDM
4/2006,68.5,26.7,27.4,FDM
5/2006,38.0,15.8,15.8,FDM
2/2007,20.7,7.2,7.2,FDM
3/2007,43.1,12.4,12.4,FDM
4/2007,24.1,8.6,8.6,FDM
5/2007,0.0,0.0,--,FDM
2/2008,73.6,24.3,24.5,FDM
3/2008,99.0,36.0,36.0,FDM
4/2008,58.2,28.8,28.8,FDM
5/2008,12.3,6.6,6.6,FDM
2/2009,25.4,8.6,--,FDM
3/2009,51.4,17.4,--,FDM
4/2009,34.4,14.8,--,FDM
5/2009,0.0,0.0,--,FDM
2/2010,74.4,21.8,--,FDM
3/2010,85.0,26.8,--,FDM
4/2010,66.0,29.6,--,FDM
5/2010,66.8,30.4,--,FDM
2/2011,61.8,24.6,--,FDM
3/2011,75.0,26.8,--,FDM
4/2011,110.0,44.4,--,FDM
2/2012,18.4,5.6,--,FDM
3/2012,14.4,4.8,--,FDM
4/2012,24.8,8.6,--,FDM
5/2012,0.0,0.0,--,FDM
2/2013,25.6,9.8,--,FDM
3/2013,19.8,8.4,--,FDM
4/2013,2.8,1.0,--,FDM
5/2013,0.0,0.0,--,FDM
2/2014,2.0,0.5,--,FDM
3/2014,3.0,1.0,--,FDM
4/2014,16.5,3.5,--,FDM
5/2014,0.0,0.0,--,FDM
2/2015,7.0,2.5,--,FDM
3/2015,3.0,0.5,--,FDM
4/2015,0.0,0.0,--,FDM
5/2015,0.0,0.0,--,FDM
2/2016,53.0,16.5,--,FDM
3/2016,45.5,18.5,--,FDM
4/2016,28.0,11.5,--,FDM
5/2016,0.0,0.0,--,FDM
2/2000,41.8,10.7,11.7,FEM
3/2000,70.7,24.7,24.7,FEM
